userID, experimentID, remainingTime, rightBlue, rightGreen, wrongRed, rightYellow, wrongBlack, wrongGreen, wrongYellow, touchSensor
2,1,0,0,0,0,1,1,0,1,0
3,1,0,0,0,0,0,0,0,0,0
4,1,55,1,1,0,1,0,0,1,0
5,1,0,0,3,1,3,2,0,3,0
6,1,0,0,1,0,1,1,2,1,0
7,1,139,1,1,0,1,0,1,1,0
8,1,164,1,2,0,1,1,2,1,12
9,1,0,0,1,0,1,0,1,1,12
10,1,0,0,0,0,0,0,0,0,9
11,1,17,1,1,0,1,0,2,2,12
12,1,198,1,2,0,1,0,0,0,12
13,1,47,1,1,0,1,0,1,0,12
14,1,0,0,0,0,0,0,0,0,16
15,1,0,0,1,3,2,1,0,2,15
16,1,0,0,1,0,0,1,1,1,18
17,1,11,1,1,0,1,0,2,0,25
18,1,0,0,0,0,0,0,0,0,10
19,1,0,0,0,0,0,0,0,0,2
20,1,0,0,2,1,1,2,0,2,0
21,1,248,1,1,1,1,0,0,0,0
22,1,87,1,1,0,1,0,1,0,29
23,1,0,0,0,0,1,1,1,0,15
24,1,80,1,1,0,1,0,1,0,25
25,1,0,1,0,2,3,2,1,3,22
26,1,0,0,0,3,3,2,0,1,21
27,1,129,1,1,0,1,0,1,0,16
28,1,86,1,1,0,1,0,1,2,25
29,1,18,1,1,0,1,0,1,0,23
30,1,183,1,1,0,1,0,1,0,12
31,1,0,1,1,2,0,2,1,1,20
32,1,23,1,2,0,1,0,1,0,16
33,3,0,0,0,1,1,1,0,1,3
34,3,0,0,0,1,1,1,0,1,6
35,3,0,0,0,1,1,0,0,2,5
36,3,0,0,0,1,1,0,0,3,19
37,3,0,0,1,0,1,0,0,0,45
38,3,0,0,0,1,0,0,0,1,19
39,3,0,0,1,0,0,0,1,0,28
40,3,0,0,2,0,1,0,0,1,42
41,3,47,1,1,0,1,0,1,0,35
42,3,0,0,0,0,0,0,0,0,41
43,3,0,0,0,0,0,0,0,0,34
44,3,0,0,0,0,1,0,0,0,60
45,3,90,1,2,0,1,0,0,0,30
46,3,131,1,1,0,1,0,0,0,28
47,3,0,0,1,1,0,0,0,0,14
48,3,104,1,2,0,2,0,1,0,33
49,3,0,1,0,1,1,1,1,1,5
50,3,171,1,1,0,1,0,0,0,12
51,3,111,1,1,0,1,0,1,0,70
52,3,0,1,0,0,1,0,1,1,39
53,1,236,0,0,0,0,0,0,0,3
54,1,87,1,1,0,1,0,1,0,31
55,3,43,1,1,0,1,0,1,0,74
56,3,144,1,1,0,1,0,0,0,46
57,3,157,1,1,0,1,0,1,0,23
58,3,163,1,1,0,1,0,0,0,33
